Town,Year,Variable,Value
Simsbury,SFY 2000-2001,Equalized Net Grand List,2543165654
Somers,SFY 2000-2001,Equalized Net Grand List,726297767
Southbury,SFY 2000-2001,Equalized Net Grand List,2481592974
Southington,SFY 2000-2001,Equalized Net Grand List,3300924101
South Windsor,SFY 2000-2001,Equalized Net Grand List,2175198717
Sprague,SFY 2000-2001,Equalized Net Grand List,200946964
Stafford,SFY 2000-2001,Equalized Net Grand List,705909346
Stamford,SFY 2000-2001,Equalized Net Grand List,15420005199
Sterling,SFY 2000-2001,Equalized Net Grand List,182574183
Stonington,SFY 2000-2001,Equalized Net Grand List,2199231845
Stratford,SFY 2000-2001,Equalized Net Grand List,4415836479
Suffield,SFY 2000-2001,Equalized Net Grand List,1017878100
Thomaston,SFY 2000-2001,Equalized Net Grand List,531012431
Thompson,SFY 2000-2001,Equalized Net Grand List,531637920
Tolland,SFY 2000-2001,Equalized Net Grand List,1077785794
Torrington,SFY 2000-2001,Equalized Net Grand List,2067407460
Trumbull,SFY 2000-2001,Equalized Net Grand List,4801965294
Union,SFY 2000-2001,Equalized Net Grand List,66202397
Vernon,SFY 2000-2001,Equalized Net Grand List,1605826710
Voluntown,SFY 2000-2001,Equalized Net Grand List,156995100
Wallingford,SFY 2000-2001,Equalized Net Grand List,3723201366
Warren,SFY 2000-2001,Equalized Net Grand List,291140240
Washington,SFY 2000-2001,Equalized Net Grand List,827183829
Waterbury,SFY 2000-2001,Equalized Net Grand List,4567623093
Waterford,SFY 2000-2001,Equalized Net Grand List,4753053545
Watertown,SFY 2000-2001,Equalized Net Grand List,1700124224
Westbrook,SFY 2000-2001,Equalized Net Grand List,938213393
West Hartford,SFY 2000-2001,Equalized Net Grand List,5124372924
West Haven,SFY 2000-2001,Equalized Net Grand List,2657736092
Weston,SFY 2000-2001,Equalized Net Grand List,2389624551
Westport,SFY 2000-2001,Equalized Net Grand List,7758037456
Wethersfield,SFY 2000-2001,Equalized Net Grand List,2043398264
Willington,SFY 2000-2001,Equalized Net Grand List,394262843
Wilton,SFY 2000-2001,Equalized Net Grand List,4372391660
Winchester,SFY 2000-2001,Equalized Net Grand List,626095978
Windham,SFY 2000-2001,Equalized Net Grand List,804201204
Windsor,SFY 2000-2001,Equalized Net Grand List,2419305071
Windsor Locks,SFY 2000-2001,Equalized Net Grand List,1323941720
Wolcott,SFY 2000-2001,Equalized Net Grand List,1065655157
Woodbridge,SFY 2000-2001,Equalized Net Grand List,1267242519
Woodbury,SFY 2000-2001,Equalized Net Grand List,947177347
Woodstock,SFY 2000-2001,Equalized Net Grand List,547726487
Andover,SFY 2000-2001,Equalized Net Grand List per Capita,72694
Ansonia,SFY 2000-2001,Equalized Net Grand List per Capita,49256
Ashford,SFY 2000-2001,Equalized Net Grand List per Capita,57557
Avon,SFY 2000-2001,Equalized Net Grand List per Capita,133310
Barkhamsted,SFY 2000-2001,Equalized Net Grand List per Capita,82361
Beacon Falls,SFY 2000-2001,Equalized Net Grand List per Capita,71921
Berlin,SFY 2000-2001,Equalized Net Grand List per Capita,106322
Bethany,SFY 2000-2001,Equalized Net Grand List per Capita,94488
Bethel,SFY 2000-2001,Equalized Net Grand List per Capita,101058
Bethlehem,SFY 2000-2001,Equalized Net Grand List per Capita,90322
Bloomfield,SFY 2000-2001,Equalized Net Grand List per Capita,94149
Bolton,SFY 2000-2001,Equalized Net Grand List per Capita,72037
Bozrah,SFY 2000-2001,Equalized Net Grand List per Capita,97637
Branford,SFY 2000-2001,Equalized Net Grand List per Capita,104809
Bridgeport,SFY 2000-2001,Equalized Net Grand List per Capita,40842
Bridgewater,SFY 2000-2001,Equalized Net Grand List per Capita,181049
Bristol,SFY 2000-2001,Equalized Net Grand List per Capita,61949
Brookfield,SFY 2000-2001,Equalized Net Grand List per Capita,131212
Brooklyn,SFY 2000-2001,Equalized Net Grand List per Capita,55291
Burlington,SFY 2000-2001,Equalized Net Grand List per Capita,82911
Canaan,SFY 2000-2001,Equalized Net Grand List per Capita,144802
Canterbury,SFY 2000-2001,Equalized Net Grand List per Capita,62545
Canton,SFY 2000-2001,Equalized Net Grand List per Capita,84123
Chaplin,SFY 2000-2001,Equalized Net Grand List per Capita,51542
Cheshire,SFY 2000-2001,Equalized Net Grand List per Capita,88143
Chester,SFY 2000-2001,Equalized Net Grand List per Capita,98606
Clinton,SFY 2000-2001,Equalized Net Grand List per Capita,93483
Colchester,SFY 2000-2001,Equalized Net Grand List per Capita,66120
Colebrook,SFY 2000-2001,Equalized Net Grand List per Capita,102891
Columbia,SFY 2000-2001,Equalized Net Grand List per Capita,84002
Cornwall,SFY 2000-2001,Equalized Net Grand List per Capita,198820
Coventry,SFY 2000-2001,Equalized Net Grand List per Capita,66169
Cromwell,SFY 2000-2001,Equalized Net Grand List per Capita,83633
Danbury,SFY 2000-2001,Equalized Net Grand List per Capita,85290
Darien,SFY 2000-2001,Equalized Net Grand List per Capita,299421
Deep River,SFY 2000-2001,Equalized Net Grand List per Capita,100085
Derby,SFY 2000-2001,Equalized Net Grand List per Capita,57502
Durham,SFY 2000-2001,Equalized Net Grand List per Capita,90911
Eastford,SFY 2000-2001,Equalized Net Grand List per Capita,74013
East Granby,SFY 2000-2001,Equalized Net Grand List per Capita,104189
East Haddam,SFY 2000-2001,Equalized Net Grand List per Capita,90926
East Hampton,SFY 2000-2001,Equalized Net Grand List per Capita,72494
East Hartford,SFY 2000-2001,Equalized Net Grand List per Capita,57939
East Haven,SFY 2000-2001,Equalized Net Grand List per Capita,56352
East Lyme,SFY 2000-2001,Equalized Net Grand List per Capita,86967
Easton,SFY 2000-2001,Equalized Net Grand List per Capita,194842
East Windsor,SFY 2000-2001,Equalized Net Grand List per Capita,87124
Ellington,SFY 2000-2001,Equalized Net Grand List per Capita,63735
Enfield,SFY 2000-2001,Equalized Net Grand List per Capita,61822
Essex,SFY 2000-2001,Equalized Net Grand List per Capita,139204
Fairfield,SFY 2000-2001,Equalized Net Grand List per Capita,163121
Farmington,SFY 2000-2001,Equalized Net Grand List per Capita,135039
Franklin,SFY 2000-2001,Equalized Net Grand List per Capita,90034
Glastonbury,SFY 2000-2001,Equalized Net Grand List per Capita,106157
Goshen,SFY 2000-2001,Equalized Net Grand List per Capita,153920
Granby,SFY 2000-2001,Equalized Net Grand List per Capita,82432
Greenwich,SFY 2000-2001,Equalized Net Grand List per Capita,394345
Griswold,SFY 2000-2001,Equalized Net Grand List per Capita,54789
Groton,SFY 2000-2001,Equalized Net Grand List per Capita,91238
Guilford,SFY 2000-2001,Equalized Net Grand List per Capita,120132
Haddam,SFY 2000-2001,Equalized Net Grand List per Capita,102807
Hamden,SFY 2000-2001,Equalized Net Grand List per Capita,64418
Hampton,SFY 2000-2001,Equalized Net Grand List per Capita,65474
Hartford,SFY 2000-2001,Equalized Net Grand List per Capita,41175
Hartland,SFY 2000-2001,Equalized Net Grand List per Capita,84963
Harwinton,SFY 2000-2001,Equalized Net Grand List per Capita,88032
Hebron,SFY 2000-2001,Equalized Net Grand List per Capita,76199
Kent,SFY 2000-2001,Equalized Net Grand List per Capita,147336
Killingly,SFY 2000-2001,Equalized Net Grand List per Capita,56308
Killingworth,SFY 2000-2001,Equalized Net Grand List per Capita,101243
Lebanon,SFY 2000-2001,Equalized Net Grand List per Capita,65810
Ledyard,SFY 2000-2001,Equalized Net Grand List per Capita,67482
Lisbon,SFY 2000-2001,Equalized Net Grand List per Capita,66978
Litchfield,SFY 2000-2001,Equalized Net Grand List per Capita,105036
Lyme,SFY 2000-2001,Equalized Net Grand List per Capita,189655
Madison,SFY 2000-2001,Equalized Net Grand List per Capita,135912
Manchester,SFY 2000-2001,Equalized Net Grand List per Capita,64305
Mansfield,SFY 2000-2001,Equalized Net Grand List per Capita,35219
Marlborough,SFY 2000-2001,Equalized Net Grand List per Capita,84644
Meriden,SFY 2000-2001,Equalized Net Grand List per Capita,52768
Middlebury,SFY 2000-2001,Equalized Net Grand List per Capita,132650
Middlefield,SFY 2000-2001,Equalized Net Grand List per Capita,89502
Middletown,SFY 2000-2001,Equalized Net Grand List per Capita,69624
Milford,SFY 2000-2001,Equalized Net Grand List per Capita,104966
Monroe,SFY 2000-2001,Equalized Net Grand List per Capita,101009
Montville,SFY 2000-2001,Equalized Net Grand List per Capita,63402
Morris,SFY 2000-2001,Equalized Net Grand List per Capita,121287
Naugatuck,SFY 2000-2001,Equalized Net Grand List per Capita,56294
New Britain,SFY 2000-2001,Equalized Net Grand List per Capita,32822
New Canaan,SFY 2000-2001,Equalized Net Grand List per Capita,328050
New Fairfield,SFY 2000-2001,Equalized Net Grand List per Capita,117018
New Hartford,SFY 2000-2001,Equalized Net Grand List per Capita,87281
New Haven,SFY 2000-2001,Equalized Net Grand List per Capita,34379
Newington,SFY 2000-2001,Equalized Net Grand List per Capita,81612
New London,SFY 2000-2001,Equalized Net Grand List per Capita,45352
New Milford,SFY 2000-2001,Equalized Net Grand List per Capita,94257
Newtown,SFY 2000-2001,Equalized Net Grand List per Capita,122845
Norfolk,SFY 2000-2001,Equalized Net Grand List per Capita,128742
North Branford,SFY 2000-2001,Equalized Net Grand List per Capita,79082
North Canaan,SFY 2000-2001,Equalized Net Grand List per Capita,96871
North Haven,SFY 2000-2001,Equalized Net Grand List per Capita,123070
North Stonington,SFY 2000-2001,Equalized Net Grand List per Capita,89193
Norwalk,SFY 2000-2001,Equalized Net Grand List per Capita,109367
Norwich,SFY 2000-2001,Equalized Net Grand List per Capita,45422
Old Lyme,SFY 2000-2001,Equalized Net Grand List per Capita,167590
Old Saybrook,SFY 2000-2001,Equalized Net Grand List per Capita,148119
Orange,SFY 2000-2001,Equalized Net Grand List per Capita,138901
Oxford,SFY 2000-2001,Equalized Net Grand List per Capita,94835
Plainfield,SFY 2000-2001,Equalized Net Grand List per Capita,51222
Plainville,SFY 2000-2001,Equalized Net Grand List per Capita,71268
Plymouth,SFY 2000-2001,Equalized Net Grand List per Capita,61999
Pomfret,SFY 2000-2001,Equalized Net Grand List per Capita,71510
Portland,SFY 2000-2001,Equalized Net Grand List per Capita,77245
Preston,SFY 2000-2001,Equalized Net Grand List per Capita,66157
Prospect,SFY 2000-2001,Equalized Net Grand List per Capita,79073
Putnam,SFY 2000-2001,Equalized Net Grand List per Capita,52574
Redding,SFY 2000-2001,Equalized Net Grand List per Capita,191830
Ridgefield,SFY 2000-2001,Equalized Net Grand List per Capita,199789
Rocky Hill,SFY 2000-2001,Equalized Net Grand List per Capita,93135
Roxbury,SFY 2000-2001,Equalized Net Grand List per Capita,232338
Salem,SFY 2000-2001,Equalized Net Grand List per Capita,79839
Salisbury,SFY 2000-2001,Equalized Net Grand List per Capita,194218
Scotland,SFY 2000-2001,Equalized Net Grand List per Capita,59834
Seymour,SFY 2000-2001,Equalized Net Grand List per Capita,71523
Sharon,SFY 2000-2001,Equalized Net Grand List per Capita,167902
Shelton,SFY 2000-2001,Equalized Net Grand List per Capita,117093
Sherman,SFY 2000-2001,Equalized Net Grand List per Capita,136757
Simsbury,SFY 2000-2001,Equalized Net Grand List per Capita,107126
Somers,SFY 2000-2001,Equalized Net Grand List per Capita,69158
Southbury,SFY 2000-2001,Equalized Net Grand List per Capita,134351
Southington,SFY 2000-2001,Equalized Net Grand List per Capita,82057
South Windsor,SFY 2000-2001,Equalized Net Grand List per Capita,87805
Sprague,SFY 2000-2001,Equalized Net Grand List per Capita,71792
Stafford,SFY 2000-2001,Equalized Net Grand List per Capita,61819
Stamford,SFY 2000-2001,Equalized Net Grand List per Capita,131495
Sterling,SFY 2000-2001,Equalized Net Grand List per Capita,56630
Stonington,SFY 2000-2001,Equalized Net Grand List per Capita,123782
Stratford,SFY 2000-2001,Equalized Net Grand List per Capita,89524
Suffield,SFY 2000-2001,Equalized Net Grand List per Capita,72758
Thomaston,SFY 2000-2001,Equalized Net Grand List per Capita,70445
Thompson,SFY 2000-2001,Equalized Net Grand List per Capita,59348
Tolland,SFY 2000-2001,Equalized Net Grand List per Capita,78168
Torrington,SFY 2000-2001,Equalized Net Grand List per Capita,58345
Trumbull,SFY 2000-2001,Equalized Net Grand List per Capita,138998
Union,SFY 2000-2001,Equalized Net Grand List per Capita,92850
Vernon,SFY 2000-2001,Equalized Net Grand List per Capita,57637
Voluntown,SFY 2000-2001,Equalized Net Grand List per Capita,64448
Wallingford,SFY 2000-2001,Equalized Net Grand List per Capita,86385
Warren,SFY 2000-2001,Equalized Net Grand List per Capita,225515
Washington,SFY 2000-2001,Equalized Net Grand List per Capita,226937
Waterbury,SFY 2000-2001,Equalized Net Grand List per Capita,41897
Waterford,SFY 2000-2001,Equalized Net Grand List per Capita,248344
Watertown,SFY 2000-2001,Equalized Net Grand List per Capita,77578
Westbrook,SFY 2000-2001,Equalized Net Grand List per Capita,146825
West Hartford,SFY 2000-2001,Equalized Net Grand List per Capita,83218
West Haven,SFY 2000-2001,Equalized Net Grand List per Capita,50903
Weston,SFY 2000-2001,Equalized Net Grand List per Capita,234300
Westport,SFY 2000-2001,Equalized Net Grand List per Capita,292602
Wethersfield,SFY 2000-2001,Equalized Net Grand List per Capita,77808
Willington,SFY 2000-2001,Equalized Net Grand List per Capita,64942
Wilton,SFY 2000-2001,Equalized Net Grand List per Capita,242924
Winchester,SFY 2000-2001,Equalized Net Grand List per Capita,56203
Windham,SFY 2000-2001,Equalized Net Grand List per Capita,34950
Windsor,SFY 2000-2001,Equalized Net Grand List per Capita,87242
Windsor Locks,SFY 2000-2001,Equalized Net Grand List per Capita,111078
Wolcott,SFY 2000-2001,Equalized Net Grand List per Capita,67863
Woodbridge,SFY 2000-2001,Equalized Net Grand List per Capita,139872
Woodbury,SFY 2000-2001,Equalized Net Grand List per Capita,101324
Woodstock,SFY 2000-2001,Equalized Net Grand List per Capita,74990
Andover,SFY 2000-2001,Gross Commercial Grand List,1983750
Ansonia,SFY 2000-2001,Gross Commercial Grand List,47691165
Ashford,SFY 2000-2001,Gross Commercial Grand List,5059560
Avon,SFY 2000-2001,Gross Commercial Grand List,189341450
Barkhamsted,SFY 2000-2001,Gross Commercial Grand List,15420760
Beacon Falls,SFY 2000-2001,Gross Commercial Grand List,9091610
Berlin,SFY 2000-2001,Gross Commercial Grand List,142970160
Bethany,SFY 2000-2001,Gross Commercial Grand List,15816250
Bethel,SFY 2000-2001,Gross Commercial Grand List,65427911
Bethlehem,SFY 2000-2001,Gross Commercial Grand List,5651190
Bloomfield,SFY 2000-2001,Gross Commercial Grand List,292096371
Bolton,SFY 2000-2001,Gross Commercial Grand List,13403330
Bozrah,SFY 2000-2001,Gross Commercial Grand List,13259813
Branford,SFY 2000-2001,Gross Commercial Grand List,290574880
Bridgeport,SFY 2000-2001,Gross Commercial Grand List,375383214
Bridgewater,SFY 2000-2001,Gross Commercial Grand List,2157900
Bristol,SFY 2000-2001,Gross Commercial Grand List,227616520
Brookfield,SFY 2000-2001,Gross Commercial Grand List,123701950
Brooklyn,SFY 2000-2001,Gross Commercial Grand List,22943760
Burlington,SFY 2000-2001,Gross Commercial Grand List,7608300
Canaan,SFY 2000-2001,Gross Commercial Grand List,3610300
Canterbury,SFY 2000-2001,Gross Commercial Grand List,5892810
Canton,SFY 2000-2001,Gross Commercial Grand List,53928410
Chaplin,SFY 2000-2001,Gross Commercial Grand List,5359000
Cheshire,SFY 2000-2001,Gross Commercial Grand List,121089970
Chester,SFY 2000-2001,Gross Commercial Grand List,33789000
Clinton,SFY 2000-2001,Gross Commercial Grand List,75249410
Colchester,SFY 2000-2001,Gross Commercial Grand List,52029910
Colebrook,SFY 2000-2001,Gross Commercial Grand List,1526310
Columbia,SFY 2000-2001,Gross Commercial Grand List,13736590
Cornwall,SFY 2000-2001,Gross Commercial Grand List,7401940
Coventry,SFY 2000-2001,Gross Commercial Grand List,12955070
Cromwell,SFY 2000-2001,Gross Commercial Grand List,115446480
Danbury,SFY 2000-2001,Gross Commercial Grand List,1061299700
Darien,SFY 2000-2001,Gross Commercial Grand List,335372640
Deep River,SFY 2000-2001,Gross Commercial Grand List,14563400
Derby,SFY 2000-2001,Gross Commercial Grand List,46635917
Durham,SFY 2000-2001,Gross Commercial Grand List,15409480
Eastford,SFY 2000-2001,Gross Commercial Grand List,3003490
East Granby,SFY 2000-2001,Gross Commercial Grand List,18300800
East Haddam,SFY 2000-2001,Gross Commercial Grand List,20958040
East Hampton,SFY 2000-2001,Gross Commercial Grand List,32249140
East Hartford,SFY 2000-2001,Gross Commercial Grand List,221849500
East Haven,SFY 2000-2001,Gross Commercial Grand List,118299221
East Lyme,SFY 2000-2001,Gross Commercial Grand List,67149180
Easton,SFY 2000-2001,Gross Commercial Grand List,24187920
East Windsor,SFY 2000-2001,Gross Commercial Grand List,82146947
Ellington,SFY 2000-2001,Gross Commercial Grand List,35760916
Enfield,SFY 2000-2001,Gross Commercial Grand List,194940510
Essex,SFY 2000-2001,Gross Commercial Grand List,73366460
Fairfield,SFY 2000-2001,Gross Commercial Grand List,426169780
Farmington,SFY 2000-2001,Gross Commercial Grand List,363565520
Franklin,SFY 2000-2001,Gross Commercial Grand List,15815650
Glastonbury,SFY 2000-2001,Gross Commercial Grand List,227975340
Goshen,SFY 2000-2001,Gross Commercial Grand List,7584160
Granby,SFY 2000-2001,Gross Commercial Grand List,25479400
Greenwich,SFY 2000-2001,Gross Commercial Grand List,1105487620
Griswold,SFY 2000-2001,Gross Commercial Grand List,23926160
Groton,SFY 2000-2001,Gross Commercial Grand List,182066645
Guilford,SFY 2000-2001,Gross Commercial Grand List,89945104
Haddam,SFY 2000-2001,Gross Commercial Grand List,16336670
Hamden,SFY 2000-2001,Gross Commercial Grand List,328625540
Hampton,SFY 2000-2001,Gross Commercial Grand List,1548020
Hartford,SFY 2000-2001,Gross Commercial Grand List,1212819051
Hartland,SFY 2000-2001,Gross Commercial Grand List,442900
Harwinton,SFY 2000-2001,Gross Commercial Grand List,7221140
Hebron,SFY 2000-2001,Gross Commercial Grand List,11042890
Kent,SFY 2000-2001,Gross Commercial Grand List,31395600
Killingly,SFY 2000-2001,Gross Commercial Grand List,54058365
Killingworth,SFY 2000-2001,Gross Commercial Grand List,8318270
Lebanon,SFY 2000-2001,Gross Commercial Grand List,7687800
Ledyard,SFY 2000-2001,Gross Commercial Grand List,32543630
Lisbon,SFY 2000-2001,Gross Commercial Grand List,8647750
Litchfield,SFY 2000-2001,Gross Commercial Grand List,66211186
Lyme,SFY 2000-2001,Gross Commercial Grand List,2512800
Madison,SFY 2000-2001,Gross Commercial Grand List,70209800
Manchester,SFY 2000-2001,Gross Commercial Grand List,599461240
Mansfield,SFY 2000-2001,Gross Commercial Grand List,33723600
Marlborough,SFY 2000-2001,Gross Commercial Grand List,14106460
Meriden,SFY 2000-2001,Gross Commercial Grand List,295453790
Middlebury,SFY 2000-2001,Gross Commercial Grand List,29469454
Middlefield,SFY 2000-2001,Gross Commercial Grand List,11728960
Middletown,SFY 2000-2001,Gross Commercial Grand List,273991795
Milford,SFY 2000-2001,Gross Commercial Grand List,423587920
Monroe,SFY 2000-2001,Gross Commercial Grand List,71757410
Montville,SFY 2000-2001,Gross Commercial Grand List,45829290
Morris,SFY 2000-2001,Gross Commercial Grand List,9200830
Naugatuck,SFY 2000-2001,Gross Commercial Grand List,41275680
New Britain,SFY 2000-2001,Gross Commercial Grand List,166488630
New Canaan,SFY 2000-2001,Gross Commercial Grand List,179375690
New Fairfield,SFY 2000-2001,Gross Commercial Grand List,18338150
New Hartford,SFY 2000-2001,Gross Commercial Grand List,18126080
New Haven,SFY 2000-2001,Gross Commercial Grand List,1204179036
Newington,SFY 2000-2001,Gross Commercial Grand List,256715040
New London,SFY 2000-2001,Gross Commercial Grand List,206057150
New Milford,SFY 2000-2001,Gross Commercial Grand List,127834350
Newtown,SFY 2000-2001,Gross Commercial Grand List,101895960
Norfolk,SFY 2000-2001,Gross Commercial Grand List,7582990
North Branford,SFY 2000-2001,Gross Commercial Grand List,44942450
North Canaan,SFY 2000-2001,Gross Commercial Grand List,20743060
North Haven,SFY 2000-2001,Gross Commercial Grand List,265813211
North Stonington,SFY 2000-2001,Gross Commercial Grand List,21041060
Norwalk,SFY 2000-2001,Gross Commercial Grand List,742944264
Norwich,SFY 2000-2001,Gross Commercial Grand List,176072900
Old Lyme,SFY 2000-2001,Gross Commercial Grand List,38063890
Old Saybrook,SFY 2000-2001,Gross Commercial Grand List,141942840
Orange,SFY 2000-2001,Gross Commercial Grand List,247863860
Oxford,SFY 2000-2001,Gross Commercial Grand List,9405300
Plainfield,SFY 2000-2001,Gross Commercial Grand List,46556900
Plainville,SFY 2000-2001,Gross Commercial Grand List,156719660
Plymouth,SFY 2000-2001,Gross Commercial Grand List,21922540
Pomfret,SFY 2000-2001,Gross Commercial Grand List,13170942
Portland,SFY 2000-2001,Gross Commercial Grand List,36943710
Preston,SFY 2000-2001,Gross Commercial Grand List,9687000
Prospect,SFY 2000-2001,Gross Commercial Grand List,19055091
Putnam,SFY 2000-2001,Gross Commercial Grand List,50274000
Redding,SFY 2000-2001,Gross Commercial Grand List,36410760
